ranking_diff,utr_diff
149,-1.1799999999999997
148,-1.17
147,-1.0866666666666667
146,-1.0424999999999995
145,-1.0059999999999996
144,-0.9816666666666661
143,-0.9628571428571424
142,-0.9474999999999996
141,-0.933333333333333
140,-0.9209999999999997
139,-0.9109090909090907
138,-0.9008333333333333
137,-0.8923076923076922
136,-0.8842857142857142
135,-0.874
134,-0.86375
133,-0.851764705882353
132,-0.8405555555555556
131,-0.8278947368421053
130,-0.8165000000000002
129,-0.8057142857142858
128,-0.7954545454545454
127,-0.7860869565217393
126,-0.7766666666666667
125,-0.7679999999999998
124,-0.7596153846153845
123,-0.7503703703703702
122,-0.7410714285714285
121,-0.7320689655172413
120,-0.7236666666666665
119,-0.7154838709677419
118,-0.7071874999999999
117,-0.6993939393939392
116,-0.6920588235294117
115,-0.6851428571428569
114,-0.6780555555555553
113,-0.671351351351351
112,-0.6642105263157894
111,-0.6574358974358973
110,-0.65025
109,-0.6434146341463414
108,-0.6359523809523809
107,-0.6286046511627907
106,-0.621590909090909
105,-0.6144444444444442
104,-0.6073913043478258
103,-0.6006382978723404
102,-0.5939583333333333
101,-0.587142857142857
100,-0.5805999999999998
99,-0.5741176470588233
98,-0.5676923076923075
97,-0.5615094339622639
96,-0.5555555555555555
95,-0.5498181818181818
94,-0.5441071428571428
93,-0.5384210526315789
92,-0.5329310344827586
91,-0.5272881355932203
90,-0.5218333333333333
89,-0.5162295081967213
88,-0.5106451612903227
87,-0.5052380952380953
86,-0.49968749999999995
85,-0.4943076923076922
84,-0.4887878787878789
83,-0.4832835820895522
82,-0.4775
81,-0.4718840579710144
80,-0.4662857142857143
79,-0.4607042253521128
78,-0.4551388888888888
77,-0.4494520547945205
76,-0.4436486486486486
75,-0.43786666666666674
74,-0.43197368421052645
73,-0.42610389610389615
72,-0.420128205128205
71,-0.41405063291139244
70,-0.40800000000000003
69,-0.40197530864197534
68,-0.3959756097560975
67,-0.3901204819277108
66,-0.384047619047619
65,-0.378
64,-0.371860465116279
63,-0.3658620689655172
62,-0.3597727272727273
61,-0.35382022471910113
60,-0.34788888888888886
59,-0.34186813186813186
58,-0.33597826086956517
57,-0.32999999999999996
56,-0.3241489361702127
55,-0.31831578947368416
54,-0.31249999999999994
53,-0.30680412371134014
52,-0.3012244897959183
51,-0.29575757575757566
50,-0.2902999999999999
49,-0.2848514851485147
48,-0.27950980392156854
47,-0.2740776699029126
46,-0.26865384615384613
45,-0.2633333333333333
44,-0.25801886792452833
43,-0.25261682242990646
42,-0.24731481481481482
41,-0.24201834862385316
40,-0.23645454545454545
39,-0.230990990990991
38,-0.2253571428571428
37,-0.21982300884955747
36,-0.21412280701754377
35,-0.2085217391304347
34,-0.20284482758620684
33,-0.19726495726495724
32,-0.19177966101694913
31,-0.18638655462184875
30,-0.18091666666666664
29,-0.17545454545454542
28,-0.1700819672131147
27,-0.16471544715447153
26,-0.1592741935483871
25,-0.15359999999999996
24,-0.14793650793650795
23,-0.1423622047244095
22,-0.13671875
21,-0.13116279069767442
20,-0.12561538461538466
19,-0.12007633587786261
18,-0.11462121212121212
17,-0.10887218045112783
16,-0.10313432835820896
15,-0.0971111111111111
14,-0.09102941176470587
13,-0.08467153284671533
12,-0.07833333333333332
11,-0.07208633093525178
10,-0.06578571428571427
9,-0.05957446808510636
8,-0.05338028169014082
7,-0.04713286713286711
6,-0.04090277777777776
5,-0.03468965517241378
4,-0.028561643835616424
3,-0.02217687074829932
2,-0.01581081081081081
1,-0.00791946308724832
